rsi_enabled,rsi_buy_below,rsi_sell_above,macd_enabled,macd_fast,macd_slow,macd_signal,adx_enabled,adx_length,adx_min_adx,sma_enabled,sma_length,bb_enabled,bb_length,bb_stddev,combination_mode,total_trades,win_rate,avg_roi_pct,total_net_profit,avg_net_profit,avg_holding,overall_roi_pct,hsl_exits,tsl_exits,time_exits,sl_exits,other_exits
False,35,65,False,12,26,9,False,14,18,True,50,False,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,65,False,12,26,9,False,14,18,True,50,True,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,65,False,12,26,9,False,14,20,True,50,False,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,65,False,12,26,9,False,14,20,True,50,False,20,2.0,all,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,65,False,12,26,9,False,14,20,True,50,True,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,65,False,12,26,9,False,14,25,True,50,False,20,2.0,all,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,65,False,12,26,9,False,14,25,True,50,False,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,65,False,12,26,9,False,14,25,True,50,True,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,70,False,12,26,9,False,14,18,True,50,False,20,2.0,all,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,70,False,12,26,9,False,14,18,True,50,False,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,70,False,12,26,9,False,14,18,True,50,True,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,70,False,12,26,9,False,14,20,True,50,False,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,70,False,12,26,9,False,14,20,True,50,False,20,2.0,all,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,70,False,12,26,9,False,14,20,True,50,True,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,70,False,12,26,9,False,14,25,True,50,False,20,2.0,all,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,70,False,12,26,9,False,14,25,True,50,False,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,70,False,12,26,9,False,14,25,True,50,True,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,65,False,12,26,9,False,14,18,True,50,False,20,2.0,all,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,65,False,12,26,9,False,14,18,True,50,False,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,65,False,12,26,9,False,14,18,True,50,True,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,65,False,12,26,9,False,14,20,True,50,False,20,2.0,all,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,65,False,12,26,9,False,14,20,True,50,False,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,65,False,12,26,9,False,14,20,True,50,True,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,65,False,12,26,9,False,14,25,True,50,False,20,2.0,all,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,65,False,12,26,9,False,14,25,True,50,False,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,65,False,12,26,9,False,14,25,True,50,True,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,70,False,12,26,9,False,14,18,True,50,False,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,70,False,12,26,9,False,14,18,True,50,False,20,2.0,all,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,70,False,12,26,9,False,14,18,True,50,True,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,70,False,12,26,9,False,14,20,True,50,False,20,2.0,all,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,70,False,12,26,9,False,14,20,True,50,False,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,70,False,12,26,9,False,14,20,True,50,True,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,70,False,12,26,9,False,14,25,True,50,False,20,2.0,all,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,70,False,12,26,9,False,14,25,True,50,False,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,40,70,False,12,26,9,False,14,25,True,50,True,20,2.0,any,1010,48.91089108910891,0.6332665221661959,319799.59369392897,316.633261083098,8.173267326732674,0.6332665221661959,305,62,636,7,0
False,35,65,False,12,26,9,False,14,18,False,30,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,65,False,12,26,9,False,14,18,False,30,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,65,False,12,26,9,False,14,18,False,50,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,65,False,12,26,9,False,14,18,False,50,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,65,False,12,26,9,False,14,20,False,30,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,65,False,12,26,9,False,14,20,False,30,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,65,False,12,26,9,False,14,20,False,50,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,65,False,12,26,9,False,14,20,False,50,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,65,False,12,26,9,False,14,25,False,30,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,65,False,12,26,9,False,14,25,False,30,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,65,False,12,26,9,False,14,25,False,50,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,65,False,12,26,9,False,14,25,False,50,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,70,False,12,26,9,False,14,18,False,30,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,70,False,12,26,9,False,14,18,False,30,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,70,False,12,26,9,False,14,18,False,50,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,70,False,12,26,9,False,14,18,False,50,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,70,False,12,26,9,False,14,20,False,30,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,70,False,12,26,9,False,14,20,False,30,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,70,False,12,26,9,False,14,20,False,50,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,70,False,12,26,9,False,14,20,False,50,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,70,False,12,26,9,False,14,25,False,30,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,70,False,12,26,9,False,14,25,False,30,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,70,False,12,26,9,False,14,25,False,50,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,70,False,12,26,9,False,14,25,False,50,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,65,False,12,26,9,False,14,18,False,30,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,65,False,12,26,9,False,14,18,False,30,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,65,False,12,26,9,False,14,18,False,50,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,65,False,12,26,9,False,14,18,False,50,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,65,False,12,26,9,False,14,20,False,30,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,65,False,12,26,9,False,14,20,False,30,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,65,False,12,26,9,False,14,20,False,50,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,65,False,12,26,9,False,14,20,False,50,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,65,False,12,26,9,False,14,25,False,30,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,65,False,12,26,9,False,14,25,False,30,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,65,False,12,26,9,False,14,25,False,50,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,65,False,12,26,9,False,14,25,False,50,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,70,False,12,26,9,False,14,18,False,30,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,70,False,12,26,9,False,14,18,False,30,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,70,False,12,26,9,False,14,18,False,50,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,70,False,12,26,9,False,14,18,False,50,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,70,False,12,26,9,False,14,20,False,30,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,70,False,12,26,9,False,14,20,False,30,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,70,False,12,26,9,False,14,20,False,50,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,70,False,12,26,9,False,14,20,False,50,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,70,False,12,26,9,False,14,25,False,30,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,70,False,12,26,9,False,14,25,False,30,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,70,False,12,26,9,False,14,25,False,50,False,20,2.0,any,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,40,70,False,12,26,9,False,14,25,False,50,False,20,2.0,all,1144,48.68881118881119,0.5540078505481683,316892.4905135522,277.0039252740841,8.078671328671328,0.5540078505481683,353,72,710,9,0
False,35,65,True,12,26,9,False,14,18,True,30,False,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,35,65,True,12,26,9,False,14,18,True,30,True,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,35,65,True,12,26,9,False,14,20,True,30,False,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,35,65,True,12,26,9,False,14,20,True,30,True,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,35,65,True,12,26,9,False,14,25,True,30,False,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,35,65,True,12,26,9,False,14,25,True,30,True,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,35,70,True,12,26,9,False,14,18,True,30,False,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,35,70,True,12,26,9,False,14,18,True,30,True,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,35,70,True,12,26,9,False,14,20,True,30,False,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,35,70,True,12,26,9,False,14,20,True,30,True,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,35,70,True,12,26,9,False,14,25,True,30,False,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,35,70,True,12,26,9,False,14,25,True,30,True,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,40,65,True,12,26,9,False,14,18,True,30,False,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,40,65,True,12,26,9,False,14,18,True,30,True,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,40,65,True,12,26,9,False,14,20,True,30,False,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,40,65,True,12,26,9,False,14,20,True,30,True,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,40,65,True,12,26,9,False,14,25,True,30,False,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,40,65,True,12,26,9,False,14,25,True,30,True,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,40,70,True,12,26,9,False,14,18,True,30,False,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,40,70,True,12,26,9,False,14,18,True,30,True,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
False,40,70,True,12,26,9,False,14,20,True,30,False,20,2.0,any,1109,46.79891794409377,0.563759952397652,312604.89360449807,281.879976198826,7.738503155996393,0.563759952397652,288,61,600,8,152
