,price_latest,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ret_ytd,vol_ann,cagr,sharpe,rs_vs_bench
^CNXAUTO,26779.55,-0.19,-0.57,12.16,18.11,13.88,17.28,21.13,16.18,0.44,10.91
^CNXENERGY,35790.30,-1.66,0.90,2.51,6.73,-8.94,1.71,20.86,12.46,0.29,0.40
^CNXFMCG,55437.20,-1.61,1.23,-0.53,-1.04,-6.36,-2.40,16.51,13.08,0.40,-5.01
^CNXINFRA,9393.60,-2.24,2.67,3.88,7.53,6.46,10.99,19.89,11.33,0.25,1.49
^CNXIT,35117.65,-2.20,1.18,0.24,-2.46,-13.09,-18.97,95.69,13.14,0.07,-5.33
^CNXMEDIA,1489.65,-4.45,-5.90,-9.17,-2.45,-26.22,-18.05,26.47,2.15,-0.14,-10.03
^CNXMETAL,10426.80,-2.82,2.66,11.68,23.71,11.79,20.54,27.80,10.88,0.16,13.48
^CNXPHARMA,22169.80,-0.58,1.35,0.91,5.00,-2.49,-5.31,18.65,12.08,0.30,-1.27
^CNXREALTY,946.40,-0.47,6.13,4.25,12.16,-5.32,-10.07,31.56,12.59,0.19,3.98
^NSEBANK,57876.80,-0.27,2.91,4.55,6.46,12.44,13.80,23.05,15.02,0.36,1.28
^NSEI,25492.30,-1.49,1.53,3.42,5.02,5.32,7.81,16.23,12.88,0.39,0.00
